x:	0	 	 y:	180
x:	20	 	 y:	165
x:	39	 	 y:	149
x:	59	 	 y:	133
x:	78	 	 y:	115
x:	97	 	 y:	97
x:	115	 	 y:	78
x:	133	 	 y:	59
x:	149	 	 y:	39
x:	165	 	 y:	20
x:	180	 	 y:	0
x:	193	 	 y:	-20
x:	206	 	 y:	-39
x:	217	 	 y:	-59
x:	227	 	 y:	-78
x:	235	 	 y:	-97
x:	242	 	 y:	-115
x:	247	 	 y:	-133
x:	251	 	 y:	-149
x:	254	 	 y:	-165
x:	255	 	 y:	-180
x:	254	 	 y:	-193
x:	251	 	 y:	-206
x:	247	 	 y:	-217
x:	242	 	 y:	-227
x:	235	 	 y:	-235
x:	227	 	 y:	-242
x:	217	 	 y:	-247
x:	206	 	 y:	-251
x:	193	 	 y:	-254
x:	180	 	 y:	-255
x:	165	 	 y:	-254
x:	149	 	 y:	-251
x:	133	 	 y:	-247
x:	115	 	 y:	-242
x:	97	 	 y:	-235
x:	78	 	 y:	-227
x:	59	 	 y:	-217
x:	39	 	 y:	-206
x:	20	 	 y:	-193
x:	0	 	 y:	-180
x:	-20	 	 y:	-165
x:	-39	 	 y:	-149
x:	-59	 	 y:	-133
x:	-78	 	 y:	-115
x:	-97	 	 y:	-97
x:	-115	 	 y:	-78
x:	-133	 	 y:	-59
x:	-149	 	 y:	-39
x:	-165	 	 y:	-20
x:	-180	 	 y:	0
x:	-193	 	 y:	20
x:	-206	 	 y:	39
x:	-217	 	 y:	59
x:	-227	 	 y:	78
x:	-235	 	 y:	97
x:	-242	 	 y:	115
x:	-247	 	 y:	133
x:	-251	 	 y:	149
x:	-254	 	 y:	165
x:	-255	 	 y:	180
x:	-254	 	 y:	193
x:	-251	 	 y:	206
x:	-247	 	 y:	217
x:	-242	 	 y:	227
x:	-235	 	 y:	235
x:	-227	 	 y:	242
x:	-217	 	 y:	247
x:	-206	 	 y:	251
x:	-193	 	 y:	254
x:	-180	 	 y:	255
x:	-165	 	 y:	254
x:	-149	 	 y:	251
x:	-133	 	 y:	247
x:	-115	 	 y:	242
x:	-97	 	 y:	235
x:	-78	 	 y:	227
x:	-59	 	 y:	217
x:	-39	 	 y:	206
x:	-20	 	 y:	193
x:	0	 	 y:	180
x:	20	 	 y:	165
x:	39	 	 y:	149
x:	59	 	 y:	133
x:	78	 	 y:	115
x:	97	 	 y:	97
x:	115	 	 y:	78
x:	133	 	 y:	59
x:	149	 	 y:	39
x:	165	 	 y:	20
x:	180	 	 y:	0
x:	193	 	 y:	-20
x:	206	 	 y:	-39
x:	217	 	 y:	-59
x:	227	 	 y:	-78
x:	235	 	 y:	-97
x:	242	 	 y:	-115
x:	247	 	 y:	-133
x:	251	 	 y:	-149
x:	254	 	 y:	-165
x:	255	 	 y:	-180
x:	254	 	 y:	-193
x:	251	 	 y:	-206
x:	247	 	 y:	-217
x:	242	 	 y:	-227
x:	235	 	 y:	-235
x:	227	 	 y:	-242
x:	217	 	 y:	-247
x:	206	 	 y:	-251
x:	193	 	 y:	-254
x:	180	 	 y:	-255
x:	165	 	 y:	-254
x:	149	 	 y:	-251
x:	133	 	 y:	-247
x:	115	 	 y:	-242
x:	97	 	 y:	-235
x:	78	 	 y:	-227
x:	59	 	 y:	-217
x:	39	 	 y:	-206
x:	20	 	 y:	-193
x:	0	 	 y:	-180
x:	-20	 	 y:	-165
x:	-39	 	 y:	-149
x:	-59	 	 y:	-133
x:	-78	 	 y:	-115
x:	-97	 	 y:	-97
x:	-115	 	 y:	-78
x:	-133	 	 y:	-59
x:	-149	 	 y:	-39
x:	-165	 	 y:	-20
x:	-180	 	 y:	0
x:	-193	 	 y:	20
x:	-206	 	 y:	39
x:	-217	 	 y:	59
x:	-227	 	 y:	78
x:	-235	 	 y:	97
x:	-242	 	 y:	115
x:	-247	 	 y:	133
x:	-251	 	 y:	149
x:	-254	 	 y:	165
x:	-254	 	 y:	180
x:	-254	 	 y:	193
x:	-251	 	 y:	206
x:	-247	 	 y:	217
x:	-242	 	 y:	227
x:	-235	 	 y:	235
x:	-227	 	 y:	242
x:	-217	 	 y:	247
x:	-206	 	 y:	251
x:	-193	 	 y:	254
x:	-180	 	 y:	255
x:	-165	 	 y:	254
x:	-149	 	 y:	251
x:	-133	 	 y:	247
x:	-115	 	 y:	242
x:	-97	 	 y:	235
x:	-78	 	 y:	227
x:	-59	 	 y:	217
x:	-39	 	 y:	206
x:	-20	 	 y:	193
x:	0	 	 y:	180
x:	20	 	 y:	165
x:	39	 	 y:	149
x:	59	 	 y:	133
x:	78	 	 y:	115
x:	97	 	 y:	97
x:	115	 	 y:	78
x:	133	 	 y:	59
x:	149	 	 y:	39
x:	165	 	 y:	20
x:	180	 	 y:	0
x:	193	 	 y:	-20
x:	206	 	 y:	-39
x:	217	 	 y:	-59
x:	227	 	 y:	-78
x:	235	 	 y:	-97
x:	242	 	 y:	-115
x:	247	 	 y:	-133
x:	251	 	 y:	-149
x:	254	 	 y:	-165
x:	254	 	 y:	-180
x:	254	 	 y:	-193
x:	251	 	 y:	-206
x:	247	 	 y:	-217
x:	242	 	 y:	-227
x:	235	 	 y:	-235
